lat,lon
39.984702,116.318417
39.984683,116.31845
39.984686,116.318417
39.984688,116.318385
39.984655,116.318263
39.984611,116.318026
39.984608,116.317761
39.984563,116.317517
39.984539,116.317294
39.984606,116.317065
39.984568,116.316911
39.984586,116.316716
39.984561,116.316527
39.984536,116.316354
39.984523,116.316188
39.984516,116.315963
39.984523,116.315823
39.984574,116.315611
39.984568,116.315407
39.984538,116.315148
39.984501,116.314907
39.984532,116.314808
39.984504,116.314625
39.984485,116.314426
39.984427,116.31424
39.984485,116.314042
39.98448,116.313818
39.984501,116.313659
39.984618,116.314323
39.984649,116.314107
39.984621,116.313941
39.984655,116.313724
39.984681,116.313521
39.984708,116.313311
39.984708,116.313099
39.984696,116.312921
39.984677,116.312746
39.984682,116.312525
39.984649,116.312332
39.984641,116.312123
39.984647,116.311917
39.984654,116.31172
39.984631,116.311569
39.984647,116.31138
39.984653,116.311189
39.984628,116.311026
39.984652,116.310854
39.984656,116.31066
39.984616,116.310534
39.984676,116.31033
39.984698,116.310063
39.984696,116.309937
39.984663,116.309851
39.984598,116.309749
39.98454,116.309656
39.984525,116.309503
39.984498,116.309348
39.984481,116.309173
39.984489,116.308993
39.98447,116.308827
39.98449,116.308638
39.98449,116.308485
39.984494,116.308351
39.984499,116.308201
39.984484,116.308049
39.984491,116.307902
39.984499,116.307809
39.984472,116.307687
39.984493,116.307548
39.984488,116.307434
39.984427,116.307292
39.984428,116.307126
39.984432,116.306943
39.984425,116.306801
39.984438,116.306633
39.984462,116.306486
39.984466,116.3063
39.984456,116.306047
39.984454,116.305854
39.984412,116.305682
39.98441,116.305466
39.984406,116.305281
39.984393,116.305023
39.984356,116.304909
39.984352,116.304704
39.984338,116.304543
39.984338,116.304315
39.984349,116.304083
39.984368,116.303934
39.984437,116.303813
39.984429,116.303672
39.984342,116.303444
39.984365,116.303298
39.984368,116.303132
39.984385,116.30292
39.98438,116.302754
39.984346,116.302601
39.984303,116.302457
39.984344,116.302271
39.984341,116.302094
39.984359,116.301888
39.984379,116.301693
39.984345,116.3015
39.984345,116.301309
39.984338,116.301107
39.984344,116.300877
39.984278,116.300674
39.984276,116.300462
39.984278,116.300307
39.984252,116.300156
39.984288,116.299943
39.984283,116.29981
39.984335,116.299744
39.984312,116.299703
39.984177,116.299699
39.98414,116.299697
39.984204,116.299721
39.984258,116.299736
39.984031,116.299573
39.98379,116.299578
39.983726,116.299566
39.983692,116.299496
39.983685,116.299476
39.983639,116.299425
39.983629,116.299353
39.983641,116.299279
39.983557,116.299235
39.983509,116.299238
39.983413,116.299267
39.983353,116.299305
39.983337,116.299321
39.9833,116.299314
39.9833,116.299314
39.983304,116.299307
39.983279,116.299311
39.983302,116.299302
39.983276,116.299265
39.983322,116.299191
39.983403,116.299147
39.983548,116.299083
39.983675,116.299031
39.983663,116.298932
39.983533,116.298903
39.98359,116.298869
